日期,空壓機,冷氣_15T_,冷氣_20T_,電梯,對面廠房鍋爐,對面廠房軋紙機,對面廠房浪紙機,五色印刷機,空壓機_2_,水箱印刷冷卻機,成形機2台,覆膜機兩台,自動軋紙機2,自動軋紙機3,隔壁間冷氣,裁紙機,UV_IR機,六色印刷機,冷氣機2台__第一台_,冷氣機2台__第二台_,T_10T冷氣機,四色機
0.0,236.081,358.319,196.793,13.452,0.0,0.0,0.156,657.715,186.133,95.951,0.087,197.631,513.392,104.633,36.376,5.639,473.893,949.072,45.044,244.115,126.517,337.191
0.0,235.607,359.149,341.12,13.141,0.0,0.0,0.0,653.84,194.961,119.088,0.133,208.845,487.415,85.723,30.676,4.231,610.34,1110.76,128.449,245.2,211.368,371.637
0.0,0.0,1.141,0.0,1.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,219.419,263.225,191.192,14.495,0.0,0.156,1.775,647.599,175.875,126.344,0.117,192.129,536.473,89.681,30.789,4.612,539.325,988.795,98.493,260.921,185.375,389.891
0.0,236.608,309.616,262.075,12.363,0.0,0.0,1.684,713.847,195.617,138.981,0.127,214.624,557.08,69.96,40.525,10.379,588.125,913.599,88.872,207.8,178.668,368.08
0.0,218.257,257.505,332.083,9.105,0.0,0.0,0.843,566.803,189.189,146.48,4.453,207.275,539.876,81.185,42.312,4.937,461.195,901.452,5.045,264.279,182.185,341.347
0.0,234.76,370.837,361.427,13.795,0.0,0.008,0.524,814.133,194.44,160.975,76.767,213.844,605.597,96.324,33.296,1.847,557.213,999.641,92.209,320.2,168.185,280.599
0.0,239.364,269.176,172.344,12.923,0.0,0.0,2.651,401.403,142.173,150.299,78.472,166.541,590.513,77.88,44.497,6.24,430.131,889.572,28.513,257.899,164.091,315.956
0.0,272.287,147.157,226.796,6.736,0.0,0.0,0.0,600.16,73.361,103.672,57.393,96.771,546.637,83.104,0.0,1.656,433.264,699.273,79.495,228.452,127.819,0.0
0.0,168.517,1.599,216.092,1.108,0.0,0.0,0.263,0.0,4.857,65.156,0.0,2.872,239.776,55.179,0.0,0.0,0.0,212.113,0.0,0.0,33.635,0.0
0.0,261.065,203.637,228.799,9.967,0.0,0.0,2.407,759.935,52.816,132.387,33.123,78.356,551.584,72.519,37.449,5.885,584.033,886.509,2.068,277.669,130.073,236.391
0.0,40.743,165.879,347.076,11.425,0.0,0.601,0.488,535.413,74.379,143.261,0.0,102.365,574.843,91.32,36.028,12.363,474.269,910.501,30.088,139.125,73.989,340.337
0.0,38.081,142.085,325.773,7.893,0.0,0.0,0.0,434.056,95.456,105.243,0.007,120.853,512.023,62.844,35.363,5.468,356.135,621.755,5.149,108.539,53.815,434.639
0.0,236.168,153.507,306.595,10.644,0.0,0.0,0.104,579.035,101.487,137.644,3.369,120.899,526.192,92.293,36.584,6.199,452.891,741.788,4.975,140.104,54.805,392.697
